feature,importance
year,0.23297837963362808
classification_Frank Lloyd Wright Archive,0.07099786430649298
country_Germany,0.04188679483014046
classification_Mies van der Rohe Archive,0.04022358124771396
country_USA,0.03244815331033234
medium_Pencil on tracing paper,0.027359723703683975
department_Architecture & Design,0.025689419069243293
department_Film,0.02341129793848613
era_Modern,0.014657031064178368
department_Drawings & Prints,0.014384790056921658
era_Contemporary,0.012981463843457754
medium_Double-sided offset,0.012676421887492868
classification_Work on Paper,0.012042486616422926
medium_Drawing,0.01155792383792309
medium_Pencil and colored pencil on tracing paper,0.011406751075886958
material_Paper,0.01095607798275342
classification_Design,0.010903017222323919
material_Other,0.009733862632712484
medium_One from a portfolio of forty screenprint and lithographs,0.007814228499745975
"medium_Book with offset, metal bolts and stamped ink, containing objects in various media, in wood box",0.007761841872288506
medium_Offset on transparentized paper,0.0061000168412152405
medium_Ink on paper,0.006082407159852962
country_Other,0.005847326997166432
classification_Architecture,0.0057365639653767135
material_Ink,0.0056576033373865785
department_Photography,0.0055291661029253
medium_drawing,0.005221076524774211
medium_Pencil on note paper,0.005003939767073129
classification_Illustrated Book,0.004809328484028901
material_Unknown,0.004768723163861307
country_France,0.0046359535294513065
medium_Pencil on paper,0.004515664637394813
medium_Print,0.004436196780436455
medium_Unknown,0.0043182454889434
"medium_Ink, pencil, and colored pencil on tracing paper",0.004316299625468724
material_Print,0.003978568203663684
classification_Drawing,0.003884345848556781
department_Architecture & Design - Image Archive,0.0038599573763755846
medium_Autotype,0.003704311945701292
classification_Print,0.0036700701587129123
classification_Photograph,0.0036230942744016168
country_Unknown,0.0029489431934693654
"medium_Digital print, with hand additions",0.00293439029410432
medium_One from a portfolio of twenty-one woodcuts (including cover),0.002895152316783146
country_UK,0.002686413312794355
is_known_artist,0.0026302734886822065
"medium_Background animation, mixed media on paper",0.0025790666048773315
medium_Pencil on Apex note paper,0.0025692279084291534
medium_One from a series of twelve aquatints,0.0024538046733004948
medium_Lithograph,0.002388722320539251
material_Wood,0.0023469097189144764
medium_Pencil on acetate,0.002294016746546852
medium_Gelatin silver print,0.0022664678620657004
"medium_Lithograph from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",0.0021178446899474904
medium_Offset,0.001992670976008993
medium_Bound Volume,0.0019861347346399583
medium_Pencil on print,0.0019201223461303612
medium_Pencil and colored pencil on paper,0.0018077641548980658
classification_(not assigned),0.0017760419767305885
medium_Ink on illustration board,0.0017512430072822711
"medium_Woodcut from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",0.0016892755620652447
medium_Photogravure,0.0016628473249998982
classification_Ephemera,0.001639170074246337
medium_Albumen silver print,0.001568516395897919
"medium_Lithograph, offset printed",0.001559853252699086
country_Spain,0.0015551844625118609
medium_Ink and pencil on tracing paper,0.0015038223299912567
medium_Ink and colored pencil on tracing paper,0.0014690108957845038
medium_One from a portfolio of ten lithographs,0.0014536418315109836
medium_1 sheet poster,0.001450524815215884
medium_Pencil on tissue paper,0.0014342222645720958
medium_Pencil and ink on tracing paper,0.0014103581631448306
medium_Cotton,0.0013377404798525579
department_Fluxus Collection,0.0013345484520801444
medium_Screenprint,0.00127698047106951
medium_Pencil and ink on illustration board,0.0012599928888209339
"medium_Gouache, stapled fabric, pencil, and stamped colored ink on colored card",0.0012287823004368341
"medium_Albumen silver print, printed 1977",0.001228689801304083
medium_Ink on tracing paper,0.0011881144818484603
department_Painting & Sculpture,0.001161950392754469
medium_One from an illustrated book with six etchings,0.001150960748579133
medium_Digital print,0.0011370759513038965
medium_Ink and pencil on drafting cloth,0.0011224573892855926
classification_Film,0.0011195111887700988
medium_Letterpress,0.0010779692454228934
department_Media and Performance,0.0010614900380322093
medium_Poster,0.0010558842460429237
medium_One from a series of ten lithographs,0.001022369577390424
"medium_Envelope with glued accordion addition, containing works in various media",0.0010152792698724714
"medium_16mm film transferred to video (black and white, silent)",0.0009989606435915504
medium_Linen,0.0009528901381585788
"medium_Albumen silver print (gold-toned), printed 1981 by Chicago Albumen Works",0.0009201063339118425
medium_Pencil and photostat on acetate,0.0009168677680812315
medium_Pencil and colored pencil on print,0.0009072839124495054
